Review,Rating,Words,Palform
"Nice step in that ""reserve"" is now available for all ride types. However, it's only still available in the major cities and not in resort areas such as Lake Geneva, WI. Y'all would be surprised how many visitors to the outlying areas would be appreciative of an all-access feature. Can we get a timeline as to when it's system-wide?",TRUE,59,UBER
"It has become one of the worst services. The drivers call up after booking and ask about the destination, and the mode of payment. If the mode of payment is online or the destination is too far away for their liking, they outright cancel it, even after stalling for more than 5 or so minutes. Also, this app doesn't even have a proper customer service nor any option of reviewing the drivers except for a liekert system. I'd rather book a yellow taxi than a Uber these days. Deserves 0/5.",Partially FALSE,91,UBER
"Usually this app has worked well enough, but has become increasingly buggy and unusable to get rides. Constant errors when attempting to book trips and even sent my driver to the wrong address (where I was left on the sidewalk to call another ride). Customer support is non existent. If you call they immediately hang up on you and even the contact email on the Google store is not monitored and just for show.",Partially FALSE,74,SHOHOZ
"The app is good at showing the data user the direction of the driver. However, yesterday I was disappointed when ordering a ride. I was ordering the Chap Chap option and at the time, I was forced to give out my payment details such as PayPal, Credit or Debit Card details. The app didn't provide for M-PESA or cash option. I was forced to give out my credit or debit details before ordering a ride which is kind of disappointing. This compromises my data security",TRUE,65,UBER
"I changed numbers and wanted to use the same email address for Uber and there is no way to update your details, and customer support seem to be just basically a void. Eventually I created an email address, just for this app (agh) and it keeps crashing/ doesn't load maps/locations ?? All weekend long. Before and after update. Sooooo annoying.",FALSE,60,UBER
Absolutely ridiculous. I've had this app for a few years now and it's prices from me taking a 15min drive have went from $13-15 all the way to $40-50. And it's worse If you try to schedule an uber at night! The prices skyrocket! I honestly don't get why uber charge so much when their drivers cancel over and over again. Don't trust this app to get you anywhere on time. Job interview? A wedding? Your better off scheduling one super early and then waiting outside for 2hours before your event starts,Partially FALSE,92,UBER
"Been using the app for the past 4+ years with no issues, now after the last update it is the worst, I used to request a ride put a stop and drop off address will be the same as pick up, there were no issues then but now the app doesn't pick up the stop only pick up and drop off which is ridiculous the driver will go around in circles coz some think they know better when you try to explain. Please fix it.",TRUE,85,OBHAI
"Frustrating. Wow. So the app will connect you to a driver and it says ""6 minutes until arrival"" well 40 minutes later I'd say otherwise. Don't mislead your customers. I'd rather it say, ""this driver has two more stops before you"" instead. This is incredibly frustrating and a terrible way to run a business.",Partially FALSE,54,UBER
"After a day or two, app sent a notification for a hefty discount offer for Uber eats. I went for it, and when I went to place the order the code disappeared. No record of it anywhere (I saw it when I clicked start an order). Had to go online and try and dig it up, found one for $5 less than originally offered. I was very disappointed but placed an order anyways. To resolve this, next time send the code as a message in the app so it doesn't disappear and let us know when it expires.",TRUE,98,PATHAO
"The app is very good for price comparison to other firms and does provide somewhat a cheaper ride. But on busy periods the same ride can double in price which I find very odd for the same journey. Another is the fact that if I cancel the uber car it charges still, however recently I've found that drivers picking up jobs are then canceling them minutes later for better jobs after you've been sat waiting with no consequence? Very inconsiderate and it should not be allowd once a job is accepted",TRUE,91,SHOHOZ
What was once a company about convenience is now a company where the drivers are looking to game the algorithm. I can't even remember the amount of times I have had to wait anywhere from 30 to 40 minutes in Manhattan for a driver to show up. I've had drivers cancel on a trip when they were less than 100 feet away. Drivers now take 2 phones with them and wait for surge pricing to occur and then cancel the normal rides even if they have accepted your fare. Ill just take a taxi instead.,Partially FALSE,95,PATHAO
"Love, love, LOVE the addition of a ""Reserved"" ride! Thank you! And I received notifications regarding the ride, but they don't appear antwhere within the app itself (I expected to see it under ""Messages."")??? So if I swipe, all the details about my driver and car are gone, never to be seen again. My driver reported the same: we had no way of confirming with one another. Bummer. But it worked out! He was committed, and I was committed! 🙂",TRUE,80,OBHAI
"I am constantly being charged for Uber PASS but when I go to Uber pass to cancel, it's telling me to try Uber pass. As in I don't have it yet! I have had the HARDEST time trying to get ahold of Uber. There is no phone number. The help section is NOT HELPFUL. PLEASE have a better customer service base! No way to talk to a rep in person even through the app! I haven't used Uber for about a year and a half and you're STILL CHARGING ME!",Partially FALSE,90,PATHAO
"I won't be using Uber anymore in the future. While customer support credited my account $28 for a ride that, with tip, came out to around $126. This was caused by, as they put it, ""dynamic pricing"" of which was not reflected in the cost when I requested the ride, but after the ride was completed. The ride came out to $26.52 before the additional charges. No way I would have requested the Uber if this were reflected in the cost up front. I have used Uber several times and never encountered this.",TRUE,93,UBER
"I ordered a ride, when I came down to get in the car there was no car and the ride was canceled. Uber is charging me a cancelation fee and I can't use the app until I pay it. That just not going to happen. I used it before with minor login and payment issues but that last one is too much. That's bordering on extortion.",TRUE,66,SHOHOZ
"I only say this because it always says I have to choose a different pick up location. I have been picked up and dropped off here many times by uber and had food delivered. I have since started using left. It costs a little more, but it ALWAYS works. I'm never stranded. Please fix your app!",TRUE,56,SHOHOZ
"Uber is getting SO BAD. Now you have to wait for 15 min to get a ride. And probably the driver would cancel. The rides are ridiculously high, it seems that if you simply check your trip ahead and then reopen the app, it'd always be more expensive (they know you need a ride, so they increase the rate). There are place where you cannot get a taxi, so relying on Uber is just a monopoly.",Partially FALSE,76,SHOHOZ
"You can't sign back into your old account unless you know what you card information was that was used for it last. I haven't needed the app for years and decided to re-download it again. I have to make a whole new account because I can't remember what my old card information was from a card that expired over 3 years ago. This is a stupid way to ""recover your account""",Partially FALSE,71,PATHAO
"Extremely inaccurate arrival times, since they don't check where a driver will be coming from to collect you until you already book, and they don't seem to correctly account for congested roads. Also, the app refuses to be closed once it's open, which makes me think it's taking private information against my wishes.",FALSE,53,OBHAI
"The app does what it's supposed to. The annoying thing about it is that I can only specify the correct pickup location at my home by dropping a pin on the map, which gives the driver an incorrect address, or I can specify my address at the expense of the ability to specify the correct pick-up location. So the driver either ends up waiting for me at the wrong address or gets lost in inside my community because the map data used by the app is imprecise. This is super annoying. Please fix!",TRUE,93,SHOHOZ
"Very long waiting times! Multiple cancellations by drivers! I was using this app for 2 years for business and personal trips but I am very disappointed that during last year, I had to be waiting for more than 15 minutes for every trip! And I had many cancellations on my trips which cost me even more waiting time! Anyway, I think Uber needs to think about the customers!",TRUE,68,OBHAI
"At least 50% of the time there is a very big change in wait times and a cancel with charge. They eventually give you a credit to use on another ride, but you will have wasted time and aggravation. Never never never take uber from an airport. Never. You will wait and wait and wait, - the times and GPS are incorrect, your driver will go to the wrong place and charge you a cancel fee. Save an hour and just take a taxi. It's usually cheaper and they are lined up and ready to go.",FALSE,95,OBHAI
"Was using this daily to get from work to home. Fairly fast rides, but the fare price seemed to jump after I tried their free trial period and cancelled after the trial was up.. On average it would cost a total of 10 or 11 bucks, and that was for about 2 months straight. Now I can't get a ride for under 14 and up to 17.. not sure why that is, but I assume it's their way to push for the monthly ""discount"" that they want us to pay, I'm way better off just sticking to public transit.. rip",TRUE,100,UBER
"Uber is Over :( It's now 30 bucks for a 12 dollar ride... App assigned me a driver who was in another ride, my wait time 20 mins. In the past, I would cancel this immediately to look for a closer driver. Now the App tells me I will get charged to cancel becuase the driver is already on his way to me... How is he on his way to ME when he is still enroute with another ride going the opposite direction? Nothing good can last, I suppose... Has Covis permanently ruined this once great company?",Partially FALSE,96,PATHAO
"Many times I faced the problem of over charged and it happens after 2 or 3 rides and I have to request them to return the money back and then after 3, 4 emails they credit back but again the problem is that you can only use that credit in the rides otherwise you can't use it. They must return the money by hand as they take it by hand (cash).",TRUE,71,PATHAO
"There is never any cars available. Everytime I go to request an uber the map is always empty so on days where it's raining its impossible for me to find a ride to work. My coworkers have also had problems with this. They usually call out because there are no cars on uber and they have no way to get to work. And the prices are outrageous I live 5 min away from my job and they charge upwards of $20 its ridiculous. And I'll spend 30 to 40 min waiting just for it to say ""we couldnt find you a ride""",FALSE,102,PATHAO
"Not the first time Uber goes up in price 2.5 times. That's one thing. Today I had a dr. appointment and wanted to schedule in advance. The app give out an Error. After trying to reschedul error with a message ""you already have a scheduled ride on this time"" was reoccurring. No confirmation email about scheduled ride, no car showed up. Missed my apartment thanks to Uber.",FALSE,67,OBHAI
"Previously service was good. Recently there is so much difference in the price of ride. Before taking the ride, the estimated price is decent. After reaching the destination the fare increases by 30-50 rupees. Happened multiple times. Please provide the correct estimate of the fare. Some of the drivers are equally bad. They don't turn up for long time. After multiple calls they call they cancel the ride or they just make us wait indefinitely till we cancel it ourselves.",TRUE,80,UBER
Your app needs to be seriously upgraded....I like the way it works...but it's not customer centric...coz while cancelling a ride it doesn't ask for why customer is cancelling...it simply charges..do you know that many of your drivers charges extra...why would I pay them that money? If I cancel it in 5 min I get charged every time. It's pathetic.,TRUE,59,UBER
This app is getting really bad lately. Its been already three trips where I had to wait for 12/15 minutes to be picked up when before I would wait max 5 minutes. The fares are way more expensive than before. I thought it was a one-off incident but after today I'm deleting this app.,TRUE,55,SHOHOZ
"Unable to select payment and use Uber cash. Customer service has yet to fix issue. Asking for weeks old receipts proof of purchase and Uber gift card. It's shows in my wallet date and balance.. what more do you want from me (Tyrese voice) strangely I've found Lyft being most reliable of Service. The car may smell like cigarettes covered with pet hair however who gives af when you need to get to and fro. Might as well catch the bus, please fix the issue Ubersupport want to exhaust funds n cancel",FALSE,92,SHOHOZ
Had the worst experience with the app today. Couldn't find a ride for over 40 minutes. Just kept hopping around for the app to say they couldn't find a ride. I feel the drivers should just take the ride instead of denying rides until they find one they want to take. Ended up taking a taxi much cheaper and less of a hassle. Uber was extremely frustrating.,TRUE,67,UBER
"Uber has a valid payment option in its system and keeps coming up with an error message until I add another one. Now even with two, count em, TWO valid payments for me in the system we're having the same problem 2 days later until I put in a THIRD?!?!?! Are you kidding me? Do you need EVERYTHING in my wallet to maintain a working relationship?! Uber: get it tf together 😒✌ Everyone else: try Lyft 🙄",FALSE,77,UBER
"The app is great for getting where you need to go but the help center doesn't contain a section where you can tell the uber operators what problems. The help center can't help with curtain issues that people have. For example, I just got a new phone and number, I tried changing the listed number but the app wouldn't let me. Also I put my payment information in and the app didn't save the information. I tried to re enter the info but the app said the info was already on file but I couldn't see it",Partially FALSE,97,PATHAO
"bad experience this week, waiting trips for 40 min and ask for another car, the price is 3 times that indicated, 35 dollars for 4 minutes of travel, after there are no cars available and canceling my planned trip because when I want to add a stop I get an error. After canceling and order another car the price is 3 times the indicated.",TRUE,64,SHOHOZ
"Can't even get a ride anymore. Absolute trash of a company. I wait 10m for a ride...the app never updates to tell you the ride was canceled. Then, the pricing is unreal...$20 for a 2 mile ride? Might as well just call a cab!! And the driver has some way of canceling and I get charged even though I didn't cancel!! Uber has turned into a scam company. $25 to go 1 1/2 miles. Are you kidding me???",Partially FALSE,79,OBHAI
Riders are regularly accepting rides when completing trips which would result in a wait time of 30 mins . 20 for their current ride and around 10 for you which is not my issue. The issue is is that after waiting the 20 mins for them to drop of their current ride they cancel on you. And then you have to wait around 20 mins for the second time and hope it doesn't happen again. I feel like drivers should be held accountable for this when accepting rides . You can't report cancellations either.,TRUE,92,UBER
Wish I could give them no stars...Uber ride is really stupid because the drivers be driving in circles around the pick up location and the Uber eats part of this app is retarded.... My wife had to take half an hour to order some food from a 7 Eleven that's right up the street from her and then the app told her that it was going to take 40 min hour and ten minutes for her food to get to her... The store is less than a mile away from her house .... So for that simple fact my grade is no stars,FALSE,102,OBHAI
"Uber is very helpful app but if you focus on some weak points it will become best. Firstly, driver don't know how to use google maps, most of times they not reach the exact pickup location. Secondly, the time always show wrong. Third, driver accept the request and msg that where you want to go and then reply that i am far away from your location and cancelled. What is this, if you can't come to location so why you accept the request. Forth, it take too long to confirm ride. Kindly work on it.",TRUE,95,PATHAO
"Tried signing up for a ride to get the vaccine. Twice now the app has signed me up for an appointment, but refused to let me sign up for the ride due to an error. You can't sign-up for the free ride separately, only cancel the appointment and try again. Also, there is ZERO customer service to help with any issue. The HELP section of the app is a joke.",Partially FALSE,70,OBHAI
"This app is now a scam. Same rides that would be 5-10 dollars now try to charge you 40-50 dollars. Also, the app averages your time when you'd most likely need it so they can charge you the most money as possible. Also if you even open the app it starts to raise and raise the price the longer you have it open. This is a straight up scam now",Partially FALSE,70,OBHAI
"The app has always had trouble processing your cards, even from when it first opened business in NZ. This also goes for UberEats. They'll say that there's payment issues when there's money in the bank. On the occasion that they're able to process, they will still show the 'payment problem' page although your cards has already been charged.",FALSE,58,SHOHOZ
